neg,neu,pos,compound,sentiment
0,0.902,0.098,0.34,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,0.668,0.332,0.4549,positive
0,1,0,0,neutral
0.133,0.867,0,-0.3182,negative
0,1,0,0,neutral
0,0.929,0.071,0.0762,positive
0,1,0,0,neutral
0.114,0.667,0.22,0.1779,positive
0,1,0,0,neutral
0.145,0.743,0.112,0.0258,neutral
0,1,0,0,neutral
0,0.918,0.082,0.1779,positive
0,0.84,0.16,0.2732,positive
0,0.849,0.151,0.1531,positive
0,0.93,0.07,0.34,positive
0,0.886,0.114,0.5574,positive
0.111,0.704,0.186,0.3612,positive
0,0.867,0.133,0.3818,positive
0,0.906,0.094,0.3818,positive
0,1,0,0,neutral
0,0.591,0.409,0.8225,positive
0,0.616,0.384,0.642,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.258,0.742,0,-0.7096,negative
0.104,0.896,0,-0.4215,negative
0,0.92,0.08,0.0772,positive
0,0.896,0.104,0.5994,positive
0,0.824,0.176,0.4939,positive
0.116,0.884,0,-0.3612,negative
0,0.909,0.091,0.3612,positive
0.36,0.526,0.114,-0.5859,negative
0.273,0.727,0,-0.7579,negative
0,1,0,0,neutral
0.31,0.69,0,-0.5574,negative
0,0.714,0.286,0.4939,positive
0,0.843,0.157,0.6808,positive
0.107,0.893,0,-0.4767,negative
0.65,0.35,0,-0.9186,negative
0,1,0,0,neutral
0.125,0.796,0.08,-0.3182,negative
0,1,0,0,neutral
0,0.732,0.268,0.6705,positive
0,0.796,0.204,0.3182,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.101,0.762,0.137,0.0516,positive
0,0.8,0.2,0.3612,positive
0.178,0.822,0,-0.6369,negative
0,0.861,0.139,0.5719,positive
0,1,0,0,neutral
0.174,0.826,0,-0.8304,negative
0,1,0,0,neutral
0,0.839,0.161,0.3612,positive
0,1,0,0,neutral
0,0.882,0.118,0.34,positive
0,0.85,0.15,0.3182,positive
0.218,0.782,0,-0.3041,negative
0.132,0.868,0,-0.4404,negative
0.175,0.825,0,-0.6249,negative
0.107,0.825,0.068,-0.2023,negative
0,0.775,0.225,0.4939,positive
0.122,0.714,0.163,0.0516,positive
0,0.857,0.143,0.3612,positive
0,1,0,0,neutral
0.25,0.662,0.088,-0.4939,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.754,0.246,0.6369,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.185,0.4,0.415,0.6808,positive
0,1,0,0,neutral
0,0.625,0.375,0.8316,positive
0,0.802,0.198,0.5719,positive
